endereco,bairro_cidade,preco,area,quartos,vagas
Rua 33," SUL, AGUAS CLARAS",13.132315688453556,4.2626798770413155,3.0,1.0
SQNW 110," NOROESTE, BRASILIA",14.940440479625028,5.4116460518550396,4.0,2.0
Rua 16," SUL, AGUAS CLARAS",13.785052381406869,4.653960350157523,3.0,2.0
SQNW 106 Bloco C," NOROESTE, BRASILIA",15.581952390148196,6.003887067106539,4.0,4.0
SQS 313 Bloco H," ASA SUL, BRASILIA",14.946912992035967,5.351858133476067,4.0,2.0
SHIS QL 22," LAGO SUL, BRASILIA",15.319588176962746,6.68586094706836,4.0,6.0
Quadra 2," TAQUARI, BRASILIA",14.978661680269907,6.1675164908883415,4.0,2.0
Avenida Parque Águas Claras," NORTE, AGUAS CLARAS",12.871337193291367,3.6888794541139363,2.0,1.0
SHIN QL 12," LAGO NORTE, BRASILIA",15.363073279446223,6.432940092739179,5.0,4.0
SQNW 311 Bloco D," NOROESTE, BRASILIA",14.282384921160133,4.584967478670572,1.0,2.0
SHIN QI 2," LAGO NORTE, BRASILIA",15.687312888712007,6.386879319362645,5.0,5.0
SHIN QI 7," LAGO NORTE, BRASILIA",15.46416937585933,6.456769655572163,4.0,9.0
Rua 36," NORTE, AGUAS CLARAS",14.148405690083225,5.3612921657094255,2.0,2.0
CA 11," LAGO NORTE, BRASILIA",13.270785106659046,4.204692619390966,1.0,2.0
Rua 4," NORTE, AGUAS CLARAS",13.732130035981154,4.762173934797756,4.0,2.0
Rua 8," SUL, AGUAS CLARAS",13.901689171636098,4.867534450455582,4.0,2.0
SQN 110," ASA NORTE, BRASILIA",14.253766134056512,4.770684624465665,3.0,1.0
Alameda das Tulipas," JARDIM BOTANICO, BRASILIA",14.397726736475999,5.8888779583328805,4.0,4.0
SHIS QI 23," LAGO SUL, BRASILIA",15.379951313672638,6.371611847231857,4.0,3.0
SQNW 304," NOROESTE, BRASILIA",15.248211530561777,5.5093883366279774,4.0,4.0
Rua 25," SUL, AGUAS CLARAS",13.28787951079572,4.31748811353631,1.0,1.0
SQS 208," ASA SUL, BRASILIA",14.093143052138025,4.61512051684126,3.0,1.0
SGCV," PARK SUL, BRASILIA",14.430696737594902,4.762173934797756,2.0,1.0
SMDB Conjunto 5," LAGO SUL, BRASILIA",15.53827733427679,6.55250788703459,4.0,4.0
SHIN QI 3," LAGO NORTE, BRASILIA",14.790070575320824,6.035481432524756,4.0,2.0
Rua 16," SUL, AGUAS CLARAS",13.615840583835682,4.653960350157523,4.0,1.0
Rua 31," SUL, AGUAS CLARAS",13.76421831620775,5.099866427824199,2.0,1.0
SQN 115," ASA NORTE, BRASILIA",14.556972075219997,5.1298987149230735,4.0,1.0
SQNW 304," NOROESTE, BRASILIA",14.58376567483281,4.736198448394496,3.0,2.0
SHIN QI 12," LAGO NORTE, BRASILIA",14.99416586199818,6.169610732491456,5.0,4.0
SMPW Quadra 16," PARK WAY, BRASILIA",15.226497775576945,6.660575149839686,4.0,2.0
Alameda das Paineiras," JARDIM BOTANICO, BRASILIA",14.375126917328105,6.07993319509559,4.0,2.0
CA 02," LAGO NORTE, BRASILIA",13.805461232211272,4.276666119016055,2.0,1.0
SHIS QI 23 Conjunto 10," LAGO SUL, BRASILIA",15.068273812173887,6.51025834052315,5.0,4.0
SQNW 110 Bloco D," NOROESTE, BRASILIA",15.121137287019383,5.572154032177765,4.0,3.0
Rua IPE AMARELO," NORTE, AGUAS CLARAS",13.681980308196241,4.852030263919617,3.0,1.0
SQNW 303," NOROESTE, BRASILIA",15.089476013830486,5.327876168789581,3.0,4.0
SQNW 303," NOROESTE, BRASILIA",15.06541258071152,5.3230099791384085,3.0,4.0
SQNW 303," NOROESTE, BRASILIA",15.319588176962746,5.327876168789581,3.0,4.0
SQNW 303," NOROESTE, BRASILIA",15.089476013830486,5.327876168789581,3.0,4.0
SHIN QI 5," LAGO NORTE, BRASILIA",14.731801689838349,6.09807428216624,5.0,4.0
SQNW 110 Bloco D," NOROESTE, BRASILIA",15.121137287019383,5.572154032177765,4.0,3.0
Rua BURITI," SUL, AGUAS CLARAS",13.384729180332174,4.430816798843313,3.0,1.0
